"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июль 2025 года)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",17338
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1746
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",21223
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7.601549915"
"1. Белгородская область","3_1","Количество ДТП с пострадавшими",619
"1. Белгородская область","3_1","Количество лиц, погибших в результате ДТП",57
"1. Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",818
"1. Белгородская область","3_1","Число погибших на 100 пострадавших","6.514285714"
"2. Брянская область","3_1","Количество ДТП с пострадавшими",247
"2. Брянская область","3_1","Количество лиц, погибших в результате ДТП",57
"2. Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",290
"2. Брянская область","3_1","Число погибших на 100 пострадавших","16.42651297"
"3. Владимирская область","3_1","Количество ДТП с пострадавшими",991
"3. Владимирская область","3_1","Количество лиц, погибших в результате ДТП",134
"3. Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1360
"3. Владимирская область","3_1","Число погибших на 100 пострадавших","8.969210174"
"4. Воронежская область","3_1","Количество ДТП с пострадавшими",1526
"4. Воронежская область","3_1","Количество лиц, погибших в результате ДТП",169
"4. Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2000
"4. Воронежская область","3_1","Число погибших на 100 пострадавших","7.791609036"
"5. Ивановская область","3_1","Количество ДТП с пострадавшими",496
"5. Ивановская область","3_1","Количество лиц, погибших в результате ДТП",44
"5. Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",652
"5. Ивановская область","3_1","Число погибших на 100 пострадавших","6.32183908"
"6. Калужская область","3_1","Количество ДТП с пострадавшими",635
"6. Калужская область","3_1","Количество лиц, погибших в результате ДТП",73
"6. Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",827
"6. Калужская область","3_1","Число погибших на 100 пострадавших","8.111111111"
"7. Костромская область","3_1","Количество ДТП с пострадавшими",639
"7. Костромская область","3_1","Количество лиц, погибших в результате ДТП",37
"7. Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",784
"7. Костромская область","3_1","Число погибших на 100 пострадавших","4.506699147"
"8. Курская область","3_1","Количество ДТП с пострадавшими",507
"8. Курская область","3_1","Количество лиц, погибших в результате ДТП",51
"8. Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",618
"8. Курская область","3_1","Число погибших на 100 пострадавших","7.623318386"
"9. Липецкая область","3_1","Количество ДТП с пострадавшими",589
"9. Липецкая область","3_1","Количество лиц, погибших в результате ДТП",72
"9. Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",736
"9. Липецкая область","3_1","Число погибших на 100 пострадавших","8.910891089"
"10. г. Москва","3_1","Количество ДТП с пострадавшими",4468
"10. г. Москва","3_1","Количество лиц, погибших в результате ДТП",119
"10. г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5026
"10. г. Москва","3_1","Число погибших на 100 пострадавших","2.31292517"
"11. Московская область","3_1","Количество ДТП с пострадавшими",1950
"11. Московская область","3_1","Количество лиц, погибших в результате ДТП",387
"11. Московская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2145
"11. Московская область","3_1","Число погибших на 100 пострадавших","15.28436019"
"12. Орловская область","3_1","Количество ДТП с пострадавшими",417
"12. Орловская область","3_1","Количество лиц, погибших в результате ДТП",81
"12. Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",545
"12. Орловская область","3_1","Число погибших на 100 пострадавших","12.93929712"
"13. Рязанская область","3_1","Количество ДТП с пострадавшими",820
"13. Рязанская область","3_1","Количество лиц, погибших в результате ДТП",102
"13. Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1080
"13. Рязанская область","3_1","Число погибших на 100 пострадавших","8.629441624"
"14. Смоленская область","3_1","Количество ДТП с пострадавшими",410
"14. Смоленская область","3_1","Количество лиц, погибших в результате ДТП",54
"14. Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",483
"14. Смоленская область","3_1","Число погибших на 100 пострадавших","10.05586592"
"15. Тамбовская область","3_1","Количество ДТП с пострадавшими",630
"15. Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",57
"15. Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",809
"15. Тамбовская область","3_1","Число погибших на 100 пострадавших","6.581986143"
"16. Тверская область","3_1","Количество ДТП с пострадавшими",782
"16. Тверская область","3_1","Количество лиц, погибших в результате ДТП",93
"16. Тверская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1012
"16. Тверская область","3_1","Число погибших на 100 пострадавших","8.416289593"
"17. Тульская область","3_1","Количество ДТП с пострадавшими",886
"17. Тульская область","3_1","Количество лиц, погибших в результате ДТП",85
"17. Тульская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1125
"17. Тульская область","3_1","Число погибших на 100 пострадавших","7.024793388"
"18. Ярославская область","3_1","Количество ДТП с пострадавшими",726
"18. Ярославская область","3_1","Количество лиц, погибших в результате ДТП",74
"18. Ярославская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",913
"18. Ярославская область","3_1","Число погибших на 100 пострадавших","7.497467072"
"Северо-Западный фед.округ","3_1","Количество ДТП с пострадавшими",6132
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",527
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",7405
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6.643973777"
"19. Республика Карелия","3_1","Количество ДТП с пострадавшими",426
"19. Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",32
"19. Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",603
"19. Республика Карелия","3_1","Число погибших на 100 пострадавших","5.039370079"
"20. Республика Коми","3_1","Количество ДТП с пострадавшими",425
"20. Республика Коми","3_1","Количество лиц, погибших в результате ДТП",36
"20. Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",548
"20. Республика Коми","3_1","Число погибших на 100 пострадавших","6.164383562"
"21. Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",364
"21. Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",34
"21. Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",450
"21. Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","7.024793388"
"22.   Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",352
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",34
"22.   Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",432
"22.   Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","7.296137339"
"23.   Ненецкий АО","3_1","Количество ДТП с пострадавшими",12
"23.   Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",0
"23.   Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",18
"23.   Ненецкий АО","3_1","Число погибших на 100 пострадавших",0
"24. Вологодская область","3_1","Количество ДТП с пострадавшими",687
"24. Вологодская область","3_1","Количество лиц, погибших в результате ДТП",72
"24. Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",867
"24. Вологодская область","3_1","Число погибших на 100 пострадавших","7.667731629"
"25. Калининградская область","3_1","Количество ДТП с пострадавшими",554
"25. Калининградская область","3_1","Количество лиц, погибших в результате ДТП",35
"25. Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",648
"25. Калининградская область","3_1","Число погибших на 100 пострадавших","5.124450952"
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",2710
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",215
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3068
"26. ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6.548888212"
"27.   Ленинградская область","3_1","Количество ДТП с пострадавшими",832
"27.   Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",143
"27.   Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1003
"27.   Ленинградская область","3_1","Число погибших на 100 пострадавших","12.47818499"
"28.   г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",1878
"28.   г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",72
"28.   г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2065
"28.   г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3.369209172"
"29. Мурманская область","3_1","Количество ДТП с пострадавшими",298
"29. Мурманская область","3_1","Количество лиц, погибших в результате ДТП",17
"29. Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",418
"29. Мурманская область","3_1","Число погибших на 100 пострадавших","3.908045977"
"30. Новгородская  область","3_1","Количество ДТП с пострадавшими",316
"30. Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",47
"30. Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",354
"30. Новгородская  область","3_1","Число погибших на 100 пострадавших","11.72069825"
"31. Псковская область","3_1","Количество ДТП с пострадавшими",352
"31. Псковская область","3_1","Количество лиц, погибших в результате ДТП",39
"31. Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",449
"31. Псковская область","3_1","Число погибших на 100 пострадавших","7.991803279"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",3319
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",523
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4420
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","10.58061906"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",1341
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",177
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1681
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","9.526372443"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",133
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",23
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",192
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","10.69767442"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",778
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",169
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1107
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших","13.24451411"
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",312
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",50
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",378
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","11.68224299"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",437
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",42
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",644
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","6.12244898"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",242
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",38
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",311
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","10.88825215"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",76
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",24
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",107
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","18.32061069"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",7707
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1010
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",9443
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","9.662297905"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",3131
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",386
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3758
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","9.314671815"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",586
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",58
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",715
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","7.503234153"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",1244
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",136
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1578
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","7.934655776"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",1428
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",237
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1706
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","12.19763253"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",213
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",25
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",244
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","9.293680297"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",304
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",41
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",418
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","8.932461874"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",599
