"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - сентябрь 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_1","Количество ДТП с пострадавшими",24179
"Центральный фед.округ","3_1","Количество лиц, погибших в результате ДТП",2494
"Центральный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",29567
"Центральный фед.округ","3_1","Число погибших на 100 пострадавших","7,778921431"
"Белгородская область","3_1","Количество ДТП с пострадавшими",846
"Белгородская область","3_1","Количество лиц, погибших в результате ДТП",132
"Белгородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1164
"Белгородская область","3_1","Число погибших на 100 пострадавших","10,18518519"
"Брянская область","3_1","Количество ДТП с пострадавшими",348
"Брянская область","3_1","Количество лиц, погибших в результате ДТП",78
"Брянская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",402
"Брянская область","3_1","Число погибших на 100 пострадавших","16,25"
"Владимирская область","3_1","Количество ДТП с пострадавшими",1352
"Владимирская область","3_1","Количество лиц, погибших в результате ДТП",131
"Владимирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1774
"Владимирская область","3_1","Число погибших на 100 пострадавших","6,87664042"
"Воронежская область","3_1","Количество ДТП с пострадавшими",1874
"Воронежская область","3_1","Количество лиц, погибших в результате ДТП",279
"Воронежская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2398
"Воронежская область","3_1","Число погибших на 100 пострадавших","10,42211431"
"Ивановская область","3_1","Количество ДТП с пострадавшими",790
"Ивановская область","3_1","Количество лиц, погибших в результате ДТП",54
"Ивановская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",999
"Ивановская область","3_1","Число погибших на 100 пострадавших","5,128205128"
"Калужская область","3_1","Количество ДТП с пострадавшими",845
"Калужская область","3_1","Количество лиц, погибших в результате ДТП",95
"Калужская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1053
"Калужская область","3_1","Число погибших на 100 пострадавших","8,275261324"
"Костромская область","3_1","Количество ДТП с пострадавшими",772
"Костромская область","3_1","Количество лиц, погибших в результате ДТП",52
"Костромская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",942
"Костромская область","3_1","Число погибших на 100 пострадавших","5,23138833"
"Курская область","3_1","Количество ДТП с пострадавшими",897
"Курская область","3_1","Количество лиц, погибших в результате ДТП",113
"Курская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1186
"Курская область","3_1","Число погибших на 100 пострадавших","8,69899923"
"Липецкая область","3_1","Количество ДТП с пострадавшими",831
"Липецкая область","3_1","Количество лиц, погибших в результате ДТП",122
"Липецкая область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1096
"Липецкая область","3_1","Число погибших на 100 пострадавших","10,01642036"
"г. Москва","3_1","Количество ДТП с пострадавшими",6559
"г. Москва","3_1","Количество лиц, погибших в результате ДТП",245
"г. Москва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",7246
"г. Москва","3_1","Число погибших на 100 пострадавших","3,270591376"
"Московская область","3_1","Количество ДТП с пострадавшими",2812
"Московская область","3_1","Количество лиц, погибших в результате ДТП",463
"Московская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3189
"Московская область","3_1","Число погибших на 100 пострадавших","12,67798467"
"Орловская область","3_1","Количество ДТП с пострадавшими",473
"Орловская область","3_1","Количество лиц, погибших в результате ДТП",45
"Орловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",612
"Орловская область","3_1","Число погибших на 100 пострадавших","6,849315068"
"Рязанская область","3_1","Количество ДТП с пострадавшими",1051
"Рязанская область","3_1","Количество лиц, погибших в результате ДТП",142
"Рязанская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1452
"Рязанская область","3_1","Число погибших на 100 пострадавших","8,908406524"
"Смоленская область","3_1","Количество ДТП с пострадавшими",601
"Смоленская область","3_1","Количество лиц, погибших в результате ДТП",85
"Смоленская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",753
"Смоленская область","3_1","Число погибших на 100 пострадавших","10,14319809"
"Тамбовская область","3_1","Количество ДТП с пострадавшими",775
"Тамбовская область","3_1","Количество лиц, погибших в результате ДТП",98
"Тамбовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1055
"Тамбовская область","3_1","Число погибших на 100 пострадавших","8,499566349"
"Тверская область","3_1","Количество ДТП с пострадавшими",1089
"Тверская область","3_1","Количество лиц, погибших в результате ДТП",115
"Тверская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1361
"Тверская область","3_1","Число погибших на 100 пострадавших","7,791327913"
"Тульская область","3_1","Количество ДТП с пострадавшими",1264
"Тульская область","3_1","Количество лиц, погибших в результате ДТП",122
"Тульская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1605
"Тульская область","3_1","Число погибших на 100 пострадавших","7,064273306"
"Ярославская область","3_1","Количество ДТП с пострадавшими",1000
"Ярославская область","3_1","Количество лиц, погибших в результате ДТП",123
"Ярославская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1280
"Ярославская область","3_1","Число погибших на 100 пострадавших","8,766928011"
"Северо-Западный фед.округ","3_1","Количество ДТП с пострадавшими",9260
"Северо-Западный фед.округ","3_1","Количество лиц, погибших в результате ДТП",798
"Северо-Западный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",11023
"Северо-Западный фед.округ","3_1","Число погибших на 100 пострадавших","6,75069791"
"Республика Карелия","3_1","Количество ДТП с пострадавшими",489
"Республика Карелия","3_1","Количество лиц, погибших в результате ДТП",58
"Республика Карелия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",620
"Республика Карелия","3_1","Число погибших на 100 пострадавших","8,554572271"
"Республика Коми","3_1","Количество ДТП с пострадавшими",628
"Республика Коми","3_1","Количество лиц, погибших в результате ДТП",40
"Республика Коми","3_1","Количество лиц, получивших ранения в результате совершения ДТП",802
"Республика Коми","3_1","Число погибших на 100 пострадавших","4,750593824"
"Архангельская обл. (с АО )","3_1","Количество ДТП с пострадавшими",526
"Архангельская обл. (с АО )","3_1","Количество лиц, погибших в результате ДТП",61
"Архангельская обл. (с АО )","3_1","Количество лиц, получивших ранения в результате совершения ДТП",628
"Архангельская обл. (с АО )","3_1","Число погибших на 100 пострадавших","8,85341074"
"  Архангельская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",508
"  Архангельская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",60
"  Архангельская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",608
"  Архангельская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","8,982035928"
"  Ненецкий АО","3_1","Количество ДТП с пострадавшими",18
"  Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",1
"  Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",20
"  Ненецкий АО","3_1","Число погибших на 100 пострадавших","4,761904762"
"Вологодская область","3_1","Количество ДТП с пострадавшими",1001
"Вологодская область","3_1","Количество лиц, погибших в результате ДТП",92
"Вологодская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1310
"Вологодская область","3_1","Число погибших на 100 пострадавших","6,562054208"
"Калининградская область","3_1","Количество ДТП с пострадавшими",780
"Калининградская область","3_1","Количество лиц, погибших в результате ДТП",54
"Калининградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",889
"Калининградская область","3_1","Число погибших на 100 пострадавших","5,72640509"
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество ДТП с пострадавшими",4274
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, погибших в результате ДТП",331
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4768
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_1","Число погибших на 100 пострадавших","6,491468915"
"  Ленинградская область","3_1","Количество ДТП с пострадавшими",1286
"  Ленинградская область","3_1","Количество лиц, погибших в результате ДТП",224
"  Ленинградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1528
"  Ленинградская область","3_1","Число погибших на 100 пострадавших","12,78538813"
"  г. Санкт-Петербург","3_1","Количество ДТП с пострадавшими",2988
"  г. Санкт-Петербург","3_1","Количество лиц, погибших в результате ДТП",107
"  г. Санкт-Петербург","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3240
"  г. Санкт-Петербург","3_1","Число погибших на 100 пострадавших","3,19689274"
"Мурманская область","3_1","Количество ДТП с пострадавшими",420
"Мурманская область","3_1","Количество лиц, погибших в результате ДТП",29
"Мурманская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",565
"Мурманская область","3_1","Число погибших на 100 пострадавших","4,882154882"
"Новгородская  область","3_1","Количество ДТП с пострадавшими",529
"Новгородская  область","3_1","Количество лиц, погибших в результате ДТП",54
"Новгородская  область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",628
"Новгородская  область","3_1","Число погибших на 100 пострадавших","7,917888563"
"Псковская область","3_1","Количество ДТП с пострадавшими",613
"Псковская область","3_1","Количество лиц, погибших в результате ДТП",79
"Псковская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",813
"Псковская область","3_1","Число погибших на 100 пострадавших","8,856502242"
"Северо-Кавказский фед.округ","3_1","Количество ДТП с пострадавшими",4585
"Северо-Кавказский фед.округ","3_1","Количество лиц, погибших в результате ДТП",754
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6083
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","11,02822876"
"Ставропольский край","3_1","Количество ДТП с пострадавшими",1789
"Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",259
"Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2230
"Ставропольский край","3_1","Число погибших на 100 пострадавших","10,40578546"
"Республика Ингушетия","3_1","Количество ДТП с пострадавшими",129
"Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",42
"Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",210
"Республика Ингушетия","3_1","Число погибших на 100 пострадавших","16,66666667"
"Республика Дагестан","3_1","Количество ДТП с пострадавшими",1214
"Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",229
"Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1751
"Республика Дагестан","3_1","Число погибших на 100 пострадавших","11,56565657"
"Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",479
"Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",94
"Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",553
"Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","14,52859351"
"Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",626
"Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",52
"Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",900
"Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","5,462184874"
"Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",251
"Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",47
"Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",301
"Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","13,50574713"
"Чеченская Республика","3_1","Количество ДТП с пострадавшими",97
"Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",31
"Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",138
"Чеченская Республика","3_1","Число погибших на 100 пострадавших","18,34319527"
"Южный фед.округ","3_1","Количество ДТП с пострадавшими",11102
"Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",1489
"Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",13788
"Южный фед.округ","3_1","Число погибших на 100 пострадавших","9,746678013"
"Краснодарский край","3_1","Количество ДТП с пострадавшими",4492
"Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",571
"Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5582
"Краснодарский край","3_1","Число погибших на 100 пострадавших","9,280026004"
"Астраханская область","3_1","Количество ДТП с пострадавшими",675
"Астраханская область","3_1","Количество лиц, погибших в результате ДТП",58
"Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",824
"Астраханская область","3_1","Число погибших на 100 пострадавших","6,575963719"
"Волгоградская область","3_1","Количество ДТП с пострадавшими",1798
"Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",183
"Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2345
"Волгоградская область","3_1","Число погибших на 100 пострадавших","7,238924051"
"Ростовская область","3_1","Количество ДТП с пострадавшими",2111
"Ростовская область","3_1","Количество лиц, погибших в результате ДТП",382
"Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2522
"Ростовская область","3_1","Число погибших на 100 пострадавших","13,15426997"
"Республика Адыгея","3_1","Количество ДТП с пострадавшими",323
"Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",57
"Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",373
"Республика Адыгея","3_1","Число погибших на 100 пострадавших","13,25581395"
"Республика Калмыкия","3_1","Количество ДТП с пострадавшими",428
"Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",74
"Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",604
"Республика Калмыкия","3_1","Число погибших на 100 пострадавших","10,91445428"
"Республика Крым","3_1","Количество ДТП с пострадавшими",932
